folder,face_0,face_1,face_2,face_3,face_4,glass,beard
0190221170511_2-173-618-717.jpg,0.0,0.0,0.0,1.0,0.0,1,1
0190221170512_38-153-598-564.jpg,0.0,0.0,0.0,1.0,0.0,0,0
0190221170512_38-181-687-764.jpg,0.0,0.0,0.0,0.0,1.0,1,0
0190221170513_65-158-604-677.jpg,0.0,0.0,0.0,0.0,1.0,1,0
0190221170513_65-249-786-826.jpg,0.0,0.0,1.0,0.0,0.0,1000,0
0190221170513_65-337-913-1173.jpg,0.0,0.0,0.0,1.0,0.0,0,1000
0190221170515_06-175-645-753.jpg,0.0,0.0,0.0,1.0,0.0,0,0
0190221170515_06-297-847-854.jpg,0.0,0.0,0.0,1.0,0.0,1000,0
0190221170515_06-395-840-1293.jpg,0.0,0.0,0.0,0.0,1.0,1,0
0190221170516_42-166-573-601.jpg,0.0,0.0,0.0,0.0,0.0,1000,1000
0190221170516_42-212-744-799.jpg,0.0,0.0,0.0,0.0,1.0,1,0
0190221170516_42-278-902-852.jpg,0.0,0.0,0.0,1.0,0.0,1000,1000
0190221170516_42-333-934-909.jpg,0.0,0.0,0.0,1.0,0.0,1000,0
0190221170516_42-451-1052-1400.jpg,0.0,0.0,0.0,0.0,1.0,1,0
0190221170517_75-253-858-812.jpg,0.0,0.0,0.0,1.0,0.0,0,0
0190221170517_75-378-1017-917.jpg,0.0,0.0,0.0,1.0,0.0,1,1000
0190221170517_75-512-1074-1499.jpg,0.0,0.0,0.0,0.0,1.0,1,0
0190221170519_11-189-466-835.jpg,0.0,0.0,0.0,1.0,0.0,0,0
0190221170519_11-303-916-799.jpg,0.0,0.0,0.0,0.0,1.0,0,0
0190221170519_11-440-1062-968.jpg,1.0,0.0,0.0,0.0,0.0,1000,0
0190221170519_11-582-1072-1559.jpg,0.0,0.0,0.0,0.0,1.0,1,0
0190221170520_55-131-591-630.jpg,0.0,0.0,0.0,1.0,0.0,1,0
0190221170520_55-223-584-962.jpg,0.0,0.0,0.0,0.0,1.0,0,0
0190221170520_55-367-862-793.jpg,0.0,0.0,0.0,1.0,0.0,0,1000
0190221170520_55-495-1063-976.jpg,0.0,0.0,0.0,1.0,0.0,1000,1000
0190221170520_55-693-1078-1649.jpg,0.0,0.0,0.0,0.0,1.0,1000,1000
